fight_date,fighter_a_name,fighter_b_name,fighter_a_id,fighter_b_id,result,title_fight,weight_class,a_age,b_age,a_height_cm,b_height_cm,a_reach_cm,b_reach_cm,a_stance,b_stance,a_slpm,b_slpm,a_str_acc,b_str_acc,a_sapm,b_sapm,a_str_def,b_str_def,a_td_avg,b_td_avg,a_td_acc,b_td_acc,a_td_def,b_td_def,a_sub_avg,b_sub_avg
2010-03-31,Stefan Struve,Roy Nelson,stefan-struve,roy-nelson,L,False,Heavyweight,22,33,210.82,182.88,213.36,182.88,Orthodox,Orthodox,1.1666666666666667,0.5333333333333333,0.468,0.22,,,,,0.5,1.0,0.5,0.5,,,3.0,0.0
2010-03-31,Nate Quarry,Jorge Rivera,nate-quarry,jorge-rivera,L,False,Middleweight,38,38,182.88,185.42,182.88,185.42,Open Stance,Orthodox,2.066666666666667,1.8787866666666666,0.389,0.532,,,,,0.1111,0.5455,0.111,0.182,,,0.0,0.0909
2010-03-31,Ross Pearson,Dennis Siver,ross-pearson,dennis-siver,W,False,Lightweight,25,31,172.72,167.64,175.26,177.8,Orthodox,Orthodox,4.433333333333334,1.3333333333333333,0.525,0.329,,,,,0.0,0.2857,0.0,0.214,,,0.0,0.2857
2010-03-31,Rafaello Oliveira,Andre Winner,rafaello-oliveira,andre-winner,L,False,Lightweight,28,28,172.72,180.34,180.34,185.42,Orthodox,Orthodox,1.6666666666666667,2.0,0.36,0.515,,,,,5.0,0.0,0.71,0.0,,,2.0,0.0
2010-03-31,Jacob Volkmann,Ronys Torres,jacob-volkmann,ronys-torres,W,False,Lightweight,29,34,175.26,170.18,180.34,180.3,Southpaw,Orthodox,0.9666666666666667,0.4,0.39,0.12,,,,,0.5,5.0,0.125,0.38,,,0.5,1.0
2010-03-31,Rob Emerson,Nik Lentz,rob-emerson,nik-lentz,L,False,Lightweight,28,25,175.26,172.72,177.8,172.72,Orthodox,Orthodox,1.7888866666666667,4.6,0.427,0.415,,,,,1.6667,4.0,0.338,0.55,,,0.1667,2.5
2010-03-31,Caol Uno,Gleison Tibau,caol-uno,gleison-tibau,L,False,Lightweight,34,26,170.18,177.8,177.8,180.34,Southpaw,Southpaw,1.9259266666666666,0.8666666666666667,0.494,0.354,,,,,2.2222,4.7,0.342,0.552,,,0.2222,1.0
2010-03-31,Yushin Okami,Lucio Linhares,yushin-okami,lucio-linhares,W,False,Middleweight,28,36,187.96,187.96,190.5,189.2,Southpaw,Orthodox,1.9407400000000001,0.5333333333333333,0.396,0.29,,,,,1.8889,2.0,0.443,1.0,,,0.8889,2.0
2010-03-31,Gerald Harris,Mario Miranda,gerald-harris,mario-miranda,W,False,Middleweight,30,30,180.34,190.5,195.58,187.96,Southpaw,Orthodox,1.4,,0.25,,,,,,1.0,,0.5,,,,0.0,
2010-03-31,Charlie Brenneman,Jason High,charlie-brenneman,jason-high,W,False,Welterweight,29,28,177.8,172.72,182.88,180.34,Orthodox,Southpaw,,,,,,,,,,,,,,,,
